menu,restaurant,happy_winter,happy_winter_snow,happy_winter_rain,happy_fall,happy_fall_rain,happy_summer,happy_summer_rain,happy_spring,happy_spring_rain,sad_spring_rain,sad_spring,sad_summer_rain,sad_summer,sad_fall_rain,sad_fall,sad_winter_rain,sad_winter,sad_winter_snow,angry_winter,angry_winter_snow,angry_winter_rain,angry_fall,angry_fall_rain,angry_summer,angry_summer_rain,angry_spring,angry_spring_rain
매운바지락볶음,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.7,0.7,1,0.7,1,0.7,1,0.7,1
새우완탕,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0,0,0.3,0,0.3,0,0.3,0,0.3
울트라빽보이,빽보이,1,0.7,0.65,1.4,1.05,1,0.65,1.3,0.95,0.55,0.9,0.25,0.6,0.65,1,0.25,0.6,0.25,0,-0.3,-0.35,0.4,0.05,0,-0.35,0.3,-0.05
허리케인포테이토,빽보이,1,1,0.65,1.4,1.05,1,0.65,1.3,0.95,0.55,0.9,0.25,0.6,0.65,1,0.25,0.6,0.25,0,0,-0.35,0.4,0.05,0,-0.35,0.3,-0.05
미트폭탄,빽보이,1,1,0.65,1.4,1.05,1,0.65,1.3,0.95,0.55,0.9,0.25,0.6,0.65,1,0.25,0.6,0.25,0,0,-0.35,0.4,0.05,0,-0.35,0.3,-0.05
슈퍼빽보이,빽보이,1,0.7,0.65,1.4,1.05,1,0.65,1.3,0.95,0.55,0.9,0.25,0.6,0.65,1,0.25,0.6,0.25,0,-0.3,-0.35,0.4,0.05,0,-0.35,0.3,-0.05
오마이갓페퍼로니,빽보이,1,1.1,0.65,1.4,1.05,1,0.65,1.3,0.95,0.55,0.9,0.25,0.6,0.65,1,0.25,0.6,0.25,0,0.1,-0.35,0.4,0.05,0,-0.35,0.3,-0.05
불닭발레전드,빽보이,1,1,0.65,1,0.65,1,0.65,1,0.65,0.25,0.6,0.25,0.6,0.25,0.6,0.25,0.6,0.25,0,0,-0.35,0,-0.35,0,-0.35,0,-0.35
연돈볼카츠,연돈볼카츠,0.1,0.1,0.55,0.1,0.55,0.1,0.55,0.6,1.05,1.55,1.1,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0,0,0.45,0,0.45,0,0.45,0.5,0.95
볼떡,연돈볼카츠,0.1,-0.4,0.55,0.1,0.55,0.1,0.55,0.1,0.55,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0,-0.5,0.45,0,0.45,0,0.45,0,0.45
볼카츠샌드,연돈볼카츠,0.1,0.1,0.55,0.1,0.55,0.1,0.55,0.1,0.55,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0,0,0.45,0,0.45,0,0.45,0,0.45
볼밥,연돈볼카츠,0.1,0,0.55,0.1,0.55,0.1,0.55,0.1,0.55,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0,-0.1,0.45,0,0.45,0,0.45,0,0.45
볼카레밥,연돈볼카츠,0.1,-0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.55,0.6,0.55,0.6,0.55,0.6,0.55,0.6,0.55,0,-0.2,-0.05,0,-0.05,0,-0.05,0,-0.05
볼카츠버거,연돈볼카츠,0.1,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.5,0.2,0.6,0.2,0.6,0.2,0.6,0.2,0.6,0.2,0,0,0.4,0,0.4,0,0.4,0,0.4
